IBOV,1S-1,PETR4,ABEV3,CMIG4,GGBR4,IT1B4,BB-1C4,BBAS3,VALE3
1,-1,1,1,-1,-1,1,1,1,-1
1,-1,1,1,-1,1,-1,-1,-1,1
-1,-1,1,-1,-1,1,1,1,-1,-1
1,1,-1,-1,-1,1,1,1,-1,1
1,-1,1,1,1,1,1,1,-1,1
1,1,-1,1,1,-1,-1,-1,1,-1
-1,-1,-1,1,1,-1,-1,-1,1,-1
1,-1,-1,1,1,-1,1,1,1,1
-1,1,-1,1,-1,-1,-1,-1,-1,-1
1,1,-1,1,-1,1,-1,1,-1,1
1,-1,1,1,1,1,-1,1,1,1
1,-1,1,1,-1,1,1,1,-1,1
-1,1,1,-1,1,1,-1,-1,-1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,-1,1,1,1,1,1,1
1,1,1,-1,1,1,-1,1,-1,1
-1,1,-1,1,-1,-1,1,1,-1,-1
1,1,1,-1,1,-1,-1,-1,1,1
1,1,1,1,-1,1,1,-1,1,1
1,1,-1,-1,-1,-1,1,1,1,-1
1,-1,1,1,-1,1,1,-1,1,1
1,1,1,1,-1,1,1,1,1,-1
-1,-1,1,1,1,-1,-1,1,1,-1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,1,-1,1,1,1,-1
1,-1,1,-1,1,1,1,1,1,1
-1,-1,-1,1,-1,1,-1,-1,-1,-1
1,-1,1,-1,1,1,1,1,1,1
-1,-1,1,-1,1,1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,1,-1,-1,-1,1,1
-1,1,-1,-1,1,1,-1,-1,-1,-1
1,1,1,1,1,-1,1,1,1,1
-1,1,-1,-1,-1,1,-1,-1,-1,1
1,1,1,1,-1,-1,1,1,1,-1
1,1,-1,-1,1,1,-1,-1,-1,1
-1,-1,-1,1,1,1,-1,-1,-1,1
1,1,-1,1,1,1,1,1,1,1
-1,1,1,-1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,1,-1,-1,-1,-1,-1,-1,1,-1
-1,-1,1,-1,-1,-1,1,-1,-1,1
1,-1,1,1,-1,-1,1,1,-1,1
1,-1,-1,-1,1,-1,1,1,1,-1
1,-1,1,1,1,1,1,1,1,1
-1,1,-1,-1,1,-1,1,1,-1,1
1,-1,1,-1,1,1,1,1,1,1
-1,1,1,-1,-1,-1,-1,1,-1,1
1,1,1,1,1,1,-1,1,1,-1
1,-1,1,1,1,1,1,1,-1,-1
-1,-1,1,-1,-1,1,-1,-1,-1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,1,-1,-1,-1,1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,1,-1,1,-1,1,1,1,-1
1,1,1,1,1,1,1,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,1,1,1,1,1,1,1,-1
1,1,-1,1,1,1,1,1,1,1
1,1,-1,-1,-1,1,-1,1,1,1
-1,1,1,-1,-1,-1,-1,-1,-1,-1
-1,1,-1,1,1,-1,-1,-1,-1,1
1,1,1,1,1,1,1,1,1,1
1,-1,1,1,1,-1,1,1,1,-1
1,-1,1,-1,1,1,-1,1,1,1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,-1,-1,-1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,-1,-1,1,-1
1,-1,1,1,-1,1,-1,-1,1,1
-1,-1,1,-1,-1,-1,-1,-1,-1,-1
1,-1,1,1,1,-1,1,1,1,1
1,-1,-1,1,1,1,-1,1,-1,-1
1,-1,1,1,1,-1,1,1,1,1
-1,-1,-1,1,-1,-1,1,-1,-1,-1
1,1,1,1,1,-1,1,1,1,-1
-1,1,-1,-1,-1,-1,1,-1,1,1
-1,-1,1,1,-1,1,-1,-1,1,-1
1,1,-1,1,1,-1,1,1,1,-1
-1,-1,-1,-1,1,-1,1,1,1,-1
1,1,1,-1,-1,1,-1,1,1,1
-1,1,-1,1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,1,-1,-1,1,1
1,1,1,1,1,1,1,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1,-1
-1,1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,-1,1,1,-1,-1,-1,1
-1,1,-1,-1,-1,-1,1,-1,-1,1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1
-1,1,-1,-1,-1,-1,1,1,-1,1
1,-1,1,-1,1,1,1,1,1,-1
1,1,1,1,1,1,1,1,1,1
-1,-1,-1,1,-1,-1,1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,1,1
-1,-1,1,-1,-1,-1,-1,-1,1,1
1,1,1,1,1,-1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,-1,-1,-1,1,-1,1,1,-1,-1
1,1,-1,1,1,-1,1,1,1,1
-1,-1,-1,1,1,-1,-1,-1,-1,-1
-1,1,1,-1,-1,1,1,-1,1,-1
1,1,1,-1,1,-1,-1,1,1,1
-1,-1,-1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,1,1,1,1
1,-1,1,-1,-1,1,1,1,-1,-1
-1,-1,-1,1,-1,1,-1,-1,-1,-1
1,-1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,1,1,1,1,1,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,1,-1,-1,-1
-1,-1,1,1,1,-1,-1,-1,-1,-1
1,-1,1,1,-1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1
1,-1,-1,-1,1,-1,-1,1,1,-1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,-1,-1,1,1,1,1,1
1,-1,-1,-1,1,-1,-1,-1,1,1
1,-1,1,-1,1,1,1,-1,1,1
1,-1,-1,-1,1,-1,-1,-1,-1,1
-1,1,-1,1,-1,-1,-1,1,-1,-1
1,1,1,1,1,1,1,1,1,-1
1,-1,1,1,1,1,1,1,1,1
1,1,1,-1,1,1,1,1,-1,-1
1,1,1,-1,1,-1,-1,-1,-1,1
1,-1,1,1,1,-1,-1,-1,-1,1
-1,1,1,-1,-1,-1,-1,-1,-1,-1
-1,1,1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,1,-1,1,-1,-1,-1,1
-1,1,-1,-1,1,-1,1,1,1,1
1,1,-1,-1,1,-1,-1,-1,1,-1
1,1,-1,1,-1,-1,1,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,1,-1,-1,-1,1,1,1,-1
-1,-1,1,1,1,1,1,1,-1,-1
1,-1,-1,-1,-1,-1,-1,1,1,-1
-1,1,-1,1,-1,-1,-1,-1,-1,-1
1,1,-1,1,1,1,1,-1,-1,-1
1,-1,1,1,-1,1,1,-1,1,1
-1,-1,-1,-1,1,1,-1,-1,-1,-1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,1,-1,-1,-1
1,-1,1,1,-1,1,1,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,1,1,1,1
1,-1,-1,1,-1,-1,1,1,-1,-1
1,-1,1,-1,1,1,1,1,1,1
-1,1,-1,-1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,1,-1,1,1,1,1,1,1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-1,-1,1,1,1,-1,1,-1,-1
-1,-1,1,1,1,-1,-1,-1,-1,-1
-1,1,-1,-1,1,1,-1,-1,-1,1
1,1,1,-1,1,1,1,1,1,1
-1,-1,-1,-1,-1,1,-1,-1,-1,-1
-1,1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,1,1,-1,1
1,-1,1,-1,-1,1,1,-1,-1,1
1,1,1,1,1,1,1,1,1,1
1,-1,-1,1,1,1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,-1,-1,1
-1,-1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,-1,1,1,1,1
1,-1,1,-1,1,1,1,1,1,-1
1,-1,1,1,-1,-1,1,1,1,-1
1,-1,1,1,-1,1,1,1,1,1
-1,1,1,-1,-1,1,-1,-1,-1,1
1,1,-1,1,1,-1,-1,-1,-1,-1
1,-1,1,1,1,1,1,-1,1,1
-1,-1,-1,-1,-1,-1,1,-1,-1,1
1,1,1,1,-1,-1,-1,-1,-1,-1
1,1,-1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,1,1,-1
-1,-1,1,1,1,-1,-1,-1,-1,-1
1,1,-1,1,-1,-1,1,1,1,1
-1,-1,1,1,-1,-1,-1,1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,-1,1,1,1,-1,1
1,-1,1,-1,1,1,1,1,1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,1,-1,-1,1,1
-1,-1,-1,1,1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,-1,-1,1,1,1,1,1
1,-1,-1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,-1,-1,-1,-1,-1
1,1,1,1,-1,-1,1,1,1,1
1,1,1,-1,-1,1,1,1,1,1
1,-1,1,1,1,1,1,1,1,1
1,-1,1,1,-1,-1,1,1,-1,-1
1,1,1,1,1,1,-1,1,-1,-1
1,-1,1,-1,-1,-1,1,1,1,-1
-1,1,-1,-1,1,1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,1,-1
1,1,1,1,1,1,1,1,1,1
1,-1,1,-1,-1,1,1,1,1,1
1,1,1,-1,-1,1,1,1,1,-1
-1,-1,-1,1,-1,-1,1,-1,-1,-1
1,-1,1,-1,-1,1,1,1,1,1
1,-1,1,-1,1,-1,1,1,1,1
-1,1,1,1,-1,-1,-1,-1,-1,-1
1,1,1,-1,1,1,1,1,1,-1
-1,1,1,-1,1,1,-1,-1,-1,-1